price_total,room_type,is_shared_room,is_private_room,max_guests,is_superhost,is_multi_listing,is_business_listing,cleanliness_score,guest_satisfaction_score,num_bedrooms,distance_city_center,distance_metro,attraction_index,restaurant_index,longitude,latitude,city,district,state,country_name,Crime_Index,Safety_Index,Monthly_Average_Net_salary
80.95454776,Private room,0,1,2,1,0,0,10,100,1,5.413668035,0.397709111,69.40932213,92.59796186,13.44451,52.47785,Berlin,Berlin,Berlin,Germany,44.5,55.5,3136.14
166.6281,Entire home/apt,0,0,4,1,0,0,10,98,0,6.675411666,0.411363471,186.7780961,462.4819045,12.422,41.905,Rome,Rome,Rome,Holy See (Vatican City State),47.3,52.7,1863.9
1166.837733,Entire home/apt,0,0,6,1,0,1,9,86,2,1.423963778,0.148752076,125.3391036,203.9456949,16.38206,48.22004,Vienna,Wien Stadt,Vienna,Austria,28.4,71.6,3135.2
150.5297718,Entire home/apt,0,0,5,1,0,0,10,96,2,1.657023575,0.984946888,101.9738564,131.3495788,23.74306,37.96193,Athens,Nomarchia Athinas,Attica,Greece,55.2,44.8,1164.49
306.2212514,Entire home/apt,0,0,4,0,1,0,10,96,1,1.371064193,0.170704254,100.88152,154.4233453,23.75058,37.97838,Athens,Nomarchia Athinas,Attica,Greece,55.2,44.8,1164.49
462.313098,Entire home/apt,0,0,5,1,1,0,10,95,2,0.390960343,0.377241214,326.3386262,583.6373003,23.731,37.975,Athens,Nomarchia Athinas,Attica,Greece,55.2,44.8,1164.49
165.0497676,Entire home/apt,0,0,4,1,0,0,9,94,2,3.437280196,0.396319272,49.8211724,73.13931715,23.73224,38.00642,Athens,Nomarchia Athinas,Attica,Greece,55.2,44.8,1164.49
91.04027196,Entire home/apt,0,0,3,0,0,0,10,97,1,2.430684669,1.016850403,66.79596621,96.8899392,23.741,37.997,Athens,Nomarchia Athinas,Attica,Greece,55.2,44.8,1164.49
202.3611195,Private room,0,1,2,1,0,0,9,95,1,4.787173945,0.713210983,225.7539988,469.0384532,-0.1447,51.46666,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
221.7683812,Entire home/apt,0,0,4,1,1,0,10,95,1,3.936678832,1.342460241,325.4921798,892.3103866,12.46634,41.87772,Rome,Rome,Rome,Holy See (Vatican City State),47.3,52.7,1863.9
710.2979415,Entire home/apt,0,0,4,0,0,0,10,93,1,1.543202895,0.549118407,967.4872288,1095.87002,2.33201,48.85891,Paris,Paris,Ile-de-France,France,58,42,3305.14
210.8359324,Entire home/apt,0,0,4,1,0,0,10,100,1,4.038050827,0.258383238,164.6062801,469.071906,12.519,41.935,Rome,Citta metropolitana di Roma Capitale,Latium,Italy,47.3,52.7,1863.9
240.112915,Entire home/apt,0,0,2,0,0,0,10,97,1,5.279185007,0.267798274,229.6431378,496.5523052,2.28905,48.83448,Paris,Departement des Hauts-de-Seine,Ile-de-France,France,58,42,3305.14
605.2433046,Private room,0,1,2,1,0,1,10,100,1,0.962870916,0.395526857,532.8214608,1277.467384,2.15981,41.39116,Barcelona,Provincia de Barcelona,Catalonia,Spain,51.9,48.1,2102.82
582.6328162,Entire home/apt,0,0,3,1,0,0,9,94,2,3.435215218,0.235516067,418.8747635,1108.875586,2.33513,48.8852,Paris,Paris,Ile-de-France,France,58,42,3305.14
1166.008687,Entire home/apt,0,0,2,1,1,0,10,80,0,0.578542548,0.101858003,511.6828995,1112.856903,2.36001,48.85454,Paris,Paris,Ile-de-France,France,58,42,3305.14
314.1005396,Private room,0,1,2,1,0,1,10,97,1,4.48833394,0.451914841,167.2845418,354.808531,2.216,41.408,Barcelona,Provincia de Barcelona,Catalonia,Spain,51.9,48.1,2102.82
347.2420545,Entire home/apt,0,0,2,1,0,0,9,86,1,3.016775198,0.281119716,221.5515011,559.4541648,2.38697,48.87162,Paris,Departement de Seine-Saint-Denis,Ile-de-France,France,58,42,3305.14
210.2411037,Entire home/apt,0,0,2,1,0,0,10,100,1,3.64509009,0.805870325,293.1090204,689.7319845,-0.10904,51.53899,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
184.1389874,Entire home/apt,0,0,5,1,0,0,10,100,1,3.314981714,0.608634692,225.2306945,600.7735696,12.5162,41.87291,Rome,Citta metropolitana di Roma Capitale,Latium,Italy,47.3,52.7,1863.9
